president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joe Biden,All polls,12/12/2022,1/21/2021,2/2/2021,Gallup,B+,906,a,1.3147066,0,57,37,56.92659,36.043474,"","",https://news.gallup.com/poll/329348/biden-begins-term-job-approval.aspx,74344,139651,2/4/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/26/2021,1/28/2021,Morning Consult,B,9211.5,a,.10327276,0,55,31.5,54.313655,34.261871,*,T,https://int.nyt.com/data/documenttools/ben-smith-poll/967c3e3a09403867/full.pdf,74292,139518,2/1/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/27/2021,1/29/2021,Morning Consult,B,15000,a,.1635707,0,54,32,53.313655,34.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74339,139644,2/4/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/27/2021,1/28/2021,Morning Consult,B,2200,a,.07197111,0,56,33,55.313655,35.761871,"","",https://assets.morningconsult.com/wp-uploads/2021/02/12185159/210193_crosstabs_MC_ENERGY_Adults_v2.pdf,74378,139765,2/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/27/2021,1/29/2021,TIPP Insights,A+,1261,a,2.3554725,0,53,29,53.493644,33.437535,"","",https://www.investors.com/politics/joe-biden-job-approval-enjoys-honeymoon-vs-donald-trump-ibd-tipp-poll/,74321,139560,2/1/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/29/2021,1/29/2021,John Zogby Strategies,B/C,841,lv,1.1150749,0,56.1,36.4,54.558238,36.94971,"","",https://johnzogbystrategies.com/wp-content/uploads/2021/02/Crosstabs-Voters-012921.pdf,74326,139569,2/2/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/28/2021,1/29/2021,HarrisX,B+,945,rv,.90482334,0,61,39,57.365403,40.369763,"","",https://thehill.com/hilltv/what-americas-thinking/536809-poll-biden-approval-dips-to-61-percent,74322,139562,2/1/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/28/2021,1/30/2021,RMG Research,B-,1200,rv,.73682805,0,58,35,57.665045,35.475229,"","",https://scottrasmussen.com/biden-job-approval-60/,74355,139680,2/9/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/27/2021,1/31/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.13780096,0,49,46,49.57915,41.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74293,139520,2/1/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/28/2021,1/30/2021,Morning Consult,B,6466.666667,a,.06918632,0,55.333333,33,54.646988,35.761871,*,T,https://assets.morningconsult.com/wp-uploads/2021/02/01222231/2101102_crosstabs_MC_TECH_QANON_Adults_v1.pdf,74323,139563,2/2/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/29/2021,1/31/2021,Morning Consult,B,15000,a,.15744273,0,54,33,53.313655,35.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74340,139646,2/4/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/28/2021,2/1/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.40436588,0,51,45,51.57915,40.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74325,139568,2/2/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/28/2021,2/1/2021,Quinnipiac University,A-,1075,a,1.5324899,0,49,36,52.767641,35.548074,"","",https://poll.qu.edu/poll-release?releaseid=3766,74334,139617,2/3/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/27/2021,2/1/2021,Navigator Research,B/C,1005,rv,.91595682,0,53,39,51.839265,38.280916,"","",https://navigatorresearch.org/wp-content/uploads/2021/02/Navigator-Topline-02.02.21.pdf,74324,139564,2/2/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/28/2021,2/1/2021,AP-NORC,"",1055,a,1.4270642,0,61,38,58.620272,37.40198,"","",https://apnorc.org/wp-content/uploads/2021/02/Biden-topline.pdf,74336,139629,2/4/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/29/2021,2/1/2021,Morning Consult,B,2200,a,.06828319,0,57,33,56.313655,35.761871,"","",https://assets.morningconsult.com/wp-uploads/2021/02/03174029/2101105_crosstabs_MC_FINANCE_Adults_v1.pdf,74375,139762,2/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/29/2021,2/1/2021,Morning Consult,B,1986,rv,.06164109,0,58,35,57.313655,37.761871,"","",https://assets.morningconsult.com/wp-uploads/2021/02/03074817/2101110_crosstabs_POLITICO_RVs_v1.pdf,74330,139576,2/3/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/30/2021,2/1/2021,Morning Consult,B,15000,a,.15518906,0,54,33,53.313655,35.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74331,139647,2/4/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/31/2021,2/2/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.21940877,0,51,47,51.57915,42.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74333,139595,2/3/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/31/2021,2/2/2021,YouGov,B+,1500,a,.9211317,0,47,38,47.768467,39.071732,"","",https://docs.cdn.yougov.com/460mactkmh/econTabReport.pdf,74332,139593,2/3/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,1/31/2021,2/2/2021,Morning Consult,B,15000,a,.1543049,0,54,33,53.313655,35.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74341,139648,2/4/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/1/2021,2/3/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.21793511,0,52,46,52.57915,41.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74338,139642,2/4/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/1/2021,2/3/2021,Morning Consult,B,15000,a,.15340626,0,54,33,53.313655,35.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74366,139733,2/11/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/2/2021,2/3/2021,Ipsos,B-,1005,a,.80586255,0,57.46,34.28,56.877959,34.869004,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-02/2021_reuters_tracking_-_core_political_presidential_approval_tracker_02_04_2021_0.pdf,74345,139652,2/4/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/2/2021,2/4/2021,Morning Consult,B,15000,a,.1526987,0,54,34,53.313655,36.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74367,139734,2/11/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/2/2021,2/4/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.21648187,0,49,48,49.57915,43.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74347,139654,2/5/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/2/2021,2/3/2021,Emerson College,A-,1429,a,2.0759934,0,49,39,49.351813,40.370071,"","",https://emersonpolling.reportablenews.com/pr/february-national-poll-america-giving-biden-a-chance-split-on-trump-impeachment,74348,139668,2/5/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/3/2021,2/5/2021,Morning Consult,B,15000,a,.15151806,0,54,34,53.313655,36.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74368,139735,2/11/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/3/2021,2/7/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.1281564,0,50,47,50.57915,42.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74349,139669,2/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/4/2021,2/6/2021,Morning Consult,B,15000,a,.1497462,0,54,34,53.313655,36.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74369,139736,2/11/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/4/2021,2/6/2021,RMG Research,B-,1200,rv,.69621914,0,60,32,59.665045,32.475229,"","",https://scottrasmussen.com/biden-job-approval-60/,74354,139679,2/9/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/5/2021,2/7/2021,Morning Consult,B,1986,rv,.05883561,0,59,35,58.313655,37.761871,"","",https://assets.morningconsult.com/wp-uploads/2021/02/11080445/210227_crosstabs_POLITICO_RVs_v1_AUTO.pdf,74351,139673,2/8/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/5/2021,2/7/2021,Morning Consult,B,15000,a,.1481259,0,55,33,54.313655,35.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74372,139746,2/11/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/4/2021,2/8/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.38029845,0,51,46,51.57915,41.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74352,139675,2/9/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/5/2021,2/8/2021,YouGov,B+,2508,a,1.3288424,0,61,39,61.768467,40.071732,"","",https://www.cbsnews.com/news/covid-relief-opinion-poll/,74357,139683,2/9/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/6/2021,2/8/2021,Morning Consult,B,15000,a,.1469369,0,55,33,54.313655,35.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74370,139738,2/11/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/7/2021,2/9/2021,Morning Consult,B,15000,a,.14592074,0,55,33,54.313655,35.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74371,139739,2/11/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/6/2021,2/9/2021,YouGov,B+,1500,a,.79866219,0,50,37,50.768467,38.071732,"","",https://docs.cdn.yougov.com/rqqxdo2ujy/econTabReport.pdf,74360,139697,2/10/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/7/2021,2/9/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20929771,0,51,47,51.57915,42.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74359,139696,2/10/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/8/2021,2/10/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20928828,0,50,47,50.57915,42.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74362,139720,2/11/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/8/2021,2/9/2021,HarrisX,B+,938,rv,.64601758,0,60,40,56.365403,41.369763,"","",https://thehill.com/hilltv/what-americas-thinking/538612-what-americas-thinking-february-12-2021,74374,139761,2/12/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/8/2021,2/10/2021,Morning Consult,B,15000,a,.14475518,0,55,33,54.313655,35.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74389,139832,2/18/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/9/2021,2/10/2021,Ipsos,B-,1001,a,.73235578,0,57.42,35.18,56.837959,35.769004,"","",https://www.ipsos.com/en-us/reutersipsos-core-political-survey-presidential-approval-tracker-02102021,74361,139719,2/10/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/9/2021,2/11/2021,Morning Consult,B,15000,a,.14375856,0,55,33,54.313655,35.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74390,139833,2/18/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/9/2021,2/11/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20920552,0,52,45,52.57915,40.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74373,139760,2/12/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/7/2021,2/14/2021,Saint Leo University,C/D,1000,a,.80855287,0,60.9,32.3,58.425863,33.962739,"","",https://polls.saintleo.edu/new-saint-leo-polling-survey-shows-six-out-of-10-americans-like-bidens-job-performance-so-far/,74408,139905,2/24/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/10/2021,2/12/2021,Morning Consult,B,15000,a,.14255466,0,55,33,54.313655,35.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74391,139834,2/18/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/3/2021,2/18/2021,Gallup,B+,1021,a,1.4180286,0,56,40,55.92659,39.043474,"","",https://news.gallup.com/poll/329948/biden-gets-high-marks-covid-response.aspx,74402,139858,2/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/11/2021,2/13/2021,RMG Research,B-,1200,rv,.68602173,0,57,35,56.665045,35.475229,"","",https://scottrasmussen.com/biden-job-approval-rating-at-56/,74411,139908,2/24/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/11/2021,2/13/2021,Morning Consult,B,15000,a,.14087975,0,55,34,54.313655,36.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74392,139835,2/18/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/10/2021,2/14/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.12516127,0,53,43,53.57915,38.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74379,139766,2/15/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/11/2021,2/14/2021,Quinnipiac University,A-,1056,a,1.5112685,0,50,38,53.767641,37.548074,"","",https://poll.qu.edu/poll-release?releaseid=3768,74387,139830,2/17/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/11/2021,2/15/2021,Navigator Research,B/C,1067,rv,.86322248,0,56,38,54.839265,37.280916,"","",https://navigatorresearch.org/wp-content/uploads/2021/02/Navigator-Toplines-02.16.2021.pdf,74383,139794,2/17/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/12/2021,2/14/2021,Morning Consult,B,15000,a,.13924131,0,54,34,53.313655,36.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74393,139836,2/18/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/11/2021,2/15/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.37310398,0,53,44,53.57915,39.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74381,139772,2/16/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/12/2021,2/15/2021,Morning Consult,B,3300,a,.09081909,0,56,34.5,55.313655,37.261871,*,"",https://assets.morningconsult.com/wp-uploads/2021/02/24152659/210264_crosstabs_MC_TECH_SPACE_Adults_v1_AUTO.pdf,74415,139933,2/25/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/13/2021,2/15/2021,Morning Consult,B,15000,a,.13760468,0,54,34,53.313655,36.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74394,139837,2/18/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/12/2021,2/15/2021,HarrisX,B+,2835,rv,1.6565277,0,59,41,55.365403,42.369763,"","",https://thehill.com/hilltv/what-americas-thinking/539464-what-americas-thinking-february-19-2021,74398,139853,2/19/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/12/2021,2/15/2021,Morning Consult,B,1987,rv,.0546841,0,56,38,55.313655,40.761871,"","",https://www.politico.com/f/?id=00000177-abaf-d644-a377-efbf5b3e0000,74384,139795,2/17/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/12/2021,2/18/2021,Echelon Insights,B/C,1005,rv,1.1872816,0,51,42,49.244392,41.969539,"","",https://echeloninsights.com/in-the-news/february-omnibus-political-update/,74400,139859,2/22/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/1/2021,2/28/2021,SurveyMonkey,C,73732,a,1.5637274,0,56,42,55.453052,40.117402,"","",https://www.surveymonkey.com/curiosity/biden-approval-tracker-2022/,80775,162046,9/24/2022,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/14/2021,2/15/2021,Morning Consult,B,1984,rv,.05442481,0,62,33,61.313655,35.761871,"","",https://www.politico.com/f/?id=00000177-a857-d644-a377-eedf501c0000,74380,139771,2/16/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/14/2021,2/16/2021,Morning Consult,B,15000,a,.13715931,0,54,34,53.313655,36.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74395,139838,2/18/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/14/2021,2/16/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20663741,0,50,47,50.57915,42.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74385,139810,2/17/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/13/2021,2/16/2021,YouGov,B+,1500,a,.84436013,0,54,37,54.768467,38.071732,"","",https://docs.cdn.yougov.com/3at75tb28w/econTabReport.pdf,74386,139811,2/17/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/15/2021,2/17/2021,Morning Consult,B,15000,a,.13719907,0,54,35,53.313655,37.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74417,139936,2/25/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/15/2021,2/17/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20711441,0,50,48,50.57915,43.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74388,139831,2/18/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/16/2021,2/18/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20735107,0,49,49,49.57915,44.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74397,139840,2/19/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/16/2021,2/18/2021,Morning Consult,B,15000,a,.13721704,0,54,35,53.313655,37.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74418,139937,2/25/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/17/2021,2/19/2021,Morning Consult,B,15000,a,.13594532,0,54,35,53.313655,37.761871,"",T,https://morningconsult.com/form/global-leader-approval/,74419,139938,2/25/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/17/2021,2/18/2021,Ipsos,B-,1005,a,.70745931,0,55.5,35.95,54.917959,36.539004,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-02/2021_reuters_tracking_-_core_political_presidential_approval_tracker_02_18_2021.pdf,74396,139839,2/18/2021,10:46:46 12 Dec 2022
Joe Biden,All polls,12/12/2022,2/17/2021,2/21/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.12441928,0,50,49,50.57915,44.733174,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74399,139854,2/22/2021,10:46:46 12 Dec 2022
