Year,State,PartyColor,ElectoralVote,Winner
2012,Nebraska,Republican,2,W. Mitt Romney
2012,Nebraska CD-1,Republican,1,W. Mitt Romney
2012,Nebraska CD-2,Republican,1,W. Mitt Romney
2012,Nebraska CD-3,Republican,1,W. Mitt Romney
2012,Nevada,Democrat,6,Barack H. Obama
2012,New Hampshire,Democrat,4,Barack H. Obama
2012,New Jersey,Democrat,14,Barack H. Obama
2012,New Mexico,Democrat,5,Barack H. Obama
2012,New York,Democrat,29,Barack H. Obama
2012,North Carolina,Republican,15,W. Mitt Romney
2012,North Dakota,Republican,3,W. Mitt Romney
2012,Ohio,Democrat,18,Barack H. Obama
2012,Oklahoma,Republican,7,W. Mitt Romney
2012,Oregon,Democrat,7,Barack H. Obama
2012,Pennsylvania,Democrat,20,Barack H. Obama
2012,Rhode Island,Democrat,4,Barack H. Obama
2012,South Carolina,Republican,9,W. Mitt Romney
2012,South Dakota,Republican,3,W. Mitt Romney
2012,Tennessee,Republican,11,W. Mitt Romney
2012,Texas,Republican,38,W. Mitt Romney
2012,Utah,Republican,6,W. Mitt Romney
2012,Vermont,Democrat,3,Barack H. Obama
2012,Virginia,Democrat,13,Barack H. Obama
2012,Washington,Democrat,12,Barack H. Obama
2012,West Virginia,Republican,5,W. Mitt Romney
2012,Wisconsin,Democrat,10,Barack H. Obama
2012,Wyoming,Republican,3,W. Mitt Romney
2012,"Washington, D.C.",Democrat,3,Barack H. Obama
2008,Alabama,Republican,9,John S. McCain
2008,Alaska,Republican,3,John S. McCain
2008,Arizona,Republican,10,John S. McCain
2008,Arkansas,Republican,6,John S. McCain
2008,California,Democrat,55,Barack H. Obama
2008,Colorado,Democrat,9,Barack H. Obama
2008,Connecticut,Democrat,7,Barack H. Obama
2008,Delaware,Democrat,3,Barack H. Obama
2008,Florida,Democrat,27,Barack H. Obama
2008,Georgia,Republican,15,John S. McCain
2008,Hawaii,Democrat,4,Barack H. Obama
2008,Idaho,Republican,4,John S. McCain
2008,Illinois,Democrat,21,Barack H. Obama
2008,Indiana,Democrat,11,Barack H. Obama
2008,Iowa,Democrat,7,Barack H. Obama
2008,Kansas,Republican,6,John S. McCain
2008,Kentucky,Republican,8,John S. McCain
2008,Louisiana,Republican,9,John S. McCain
2008,Maine,Democrat,2,Barack H. Obama
2008,Maine CD-1,Democrat,1,Barack H. Obama
2008,Maine CD-2,Democrat,1,Barack H. Obama
2008,Maryland,Democrat,10,Barack H. Obama
2008,Massachusetts,Democrat,12,Barack H. Obama
2008,Michigan,Democrat,17,Barack H. Obama
2008,Minnesota,Democrat,10,Barack H. Obama
2008,Mississippi,Republican,6,John S. McCain
2008,Missouri,Republican,11,John S. McCain
2008,Montana,Republican,3,John S. McCain
2008,Nebraska,Republican-2,2,John S. McCain
2008,Nebraska CD-1,Republican-2,1,John S. McCain
2008,Nebraska CD-2,Democrat,1,Barack H. Obama
2008,Nebraska CD-3,Republican-2,1,John S. McCain
2008,Nevada,Democrat,5,Barack H. Obama
2008,New Hampshire,Democrat,4,Barack H. Obama
2008,New Jersey,Democrat,15,Barack H. Obama
2008,New Mexico,Democrat,5,Barack H. Obama
2008,New York,Democrat,31,Barack H. Obama
2008,North Carolina,Democrat,15,Barack H. Obama
2008,North Dakota,Republican,3,John S. McCain
2008,Ohio,Democrat,20,Barack H. Obama
2008,Oklahoma,Republican,7,John S. McCain
2008,Oregon,Democrat,7,Barack H. Obama
2008,Pennsylvania,Democrat,21,Barack H. Obama
2008,Rhode Island,Democrat,4,Barack H. Obama
2008,South Carolina,Republican,8,John S. McCain
2008,South Dakota,Republican,3,John S. McCain
2008,Tennessee,Republican,11,John S. McCain
2008,Texas,Republican,34,John S. McCain
2008,Utah,Republican,5,John S. McCain
2008,Vermont,Democrat,3,Barack H. Obama
2008,Virginia,Democrat,13,Barack H. Obama
2008,Washington,Democrat,11,Barack H. Obama
2008,West Virginia,Republican,5,John S. McCain
2008,Wisconsin,Democrat,10,Barack H. Obama
2008,Wyoming,Republican,3,John S. McCain
2008,"Washington, D.C.",Democrat,3,Barack H. Obama
2004,Alabama,Republican,9,George W. Bush
2004,Alaska,Republican,3,George W. Bush
2004,Arizona,Republican,10,George W. Bush
2004,Arkansas,Republican,6,George W. Bush
2004,California,Democrat,55,John F. Kerry
2004,Colorado,Republican,9,George W. Bush
2004,Connecticut,Democrat,7,John F. Kerry
2004,Delaware,Democrat,3,John F. Kerry
2004,Florida,Republican,27,George W. Bush
2004,Georgia,Republican,15,George W. Bush
2004,Hawaii,Democrat,4,John F. Kerry
2004,Idaho,Republican,4,George W. Bush
2004,Illinois,Democrat,21,John F. Kerry
2004,Indiana,Republican,11,George W. Bush
2004,Iowa,Republican,7,George W. Bush
2004,Kansas,Republican,6,George W. Bush
2004,Kentucky,Republican,8,George W. Bush
2004,Louisiana,Republican,9,George W. Bush
2004,Maine,Democrat,2,John F. Kerry
2004,Maine CD-1,Democrat,1,John F. Kerry
2004,Maine CD-2,Democrat,1,John F. Kerry
2004,Maryland,Democrat,10,John F. Kerry
2004,Massachusetts,Democrat,12,John F. Kerry
2004,Michigan,Democrat,17,John F. Kerry
2004,Minnesota,Democrat,9,John F. Kerry
2004,Mississippi,Republican,6,George W. Bush
2004,Missouri,Republican,11,George W. Bush
2004,Montana,Republican,3,George W. Bush
2004,Nebraska,Republican,2,George W. Bush
2004,Nebraska CD-1,Republican,1,George W. Bush
2004,Nebraska CD-2,Republican,1,George W. Bush
2004,Nebraska CD-3,Republican,1,George W. Bush
2004,Nevada,Republican,5,George W. Bush
2004,New Hampshire,Democrat,4,John F. Kerry
2004,New Jersey,Democrat,15,John F. Kerry
2004,New Mexico,Republican,5,George W. Bush
2004,New York,Democrat,31,John F. Kerry
2004,North Carolina,Republican,15,George W. Bush
2004,North Dakota,Republican,3,George W. Bush
2004,Ohio,Republican,20,George W. Bush
2004,Oklahoma,Republican,7,George W. Bush
2004,Oregon,Democrat,7,John F. Kerry
2004,Pennsylvania,Democrat,21,John F. Kerry
2004,Rhode Island,Democrat,4,John F. Kerry
2004,South Carolina,Republican,8,George W. Bush
2004,South Dakota,Republican,3,George W. Bush
2004,Tennessee,Republican,11,George W. Bush
2004,Texas,Republican,34,George W. Bush
2004,Utah,Republican,5,George W. Bush
2004,Vermont,Democrat,3,John F. Kerry
2004,Virginia,Republican,13,George W. Bush
2004,Washington,Democrat,11,John F. Kerry
2004,West Virginia,Republican,5,George W. Bush
2004,Wisconsin,Democrat,10,John F. Kerry
2004,Wyoming,Republican,3,George W. Bush
2004,"Washington, D.C.",Democrat,3,John F. Kerry
2000,Alabama,Republican,9,George W. Bush
2000,Alaska,Republican,3,George W. Bush
2000,Arizona,Republican,8,George W. Bush
2000,Arkansas,Republican,6,George W. Bush
2000,California,Democrat,54,"Albert Gore, Jr."
2000,Colorado,Republican,8,George W. Bush
2000,Connecticut,Democrat,8,"Albert Gore, Jr."
2000,Delaware,Democrat,3,"Albert Gore, Jr."
2000,Florida,Republican,25,George W. Bush
2000,Georgia,Republican,13,George W. Bush
2000,Hawaii,Democrat,4,"Albert Gore, Jr."
2000,Idaho,Republican,4,George W. Bush
2000,Illinois,Democrat,22,"Albert Gore, Jr."
2000,Indiana,Republican,12,George W. Bush
2000,Iowa,Democrat,7,"Albert Gore, Jr."
2000,Kansas,Republican,6,George W. Bush
2000,Kentucky,Republican,8,George W. Bush
2000,Louisiana,Republican,9,George W. Bush
2000,Maine,Democrat,2,"Albert Gore, Jr."
2000,Maine CD-1,Democrat,1,"Albert Gore, Jr."
2000,Maine CD-2,Democrat,1,"Albert Gore, Jr."
2000,Maryland,Democrat,10,"Albert Gore, Jr."
2000,Massachusetts,Democrat,12,"Albert Gore, Jr."
2000,Michigan,Democrat,18,"Albert Gore, Jr."
2000,Minnesota,Democrat,10,"Albert Gore, Jr."
2000,Mississippi,Republican,7,George W. Bush
2000,Missouri,Republican,11,George W. Bush
2000,Montana,Republican,3,George W. Bush
2000,Nebraska,Republican,2,George W. Bush
2000,Nebraska CD-1,Republican,1,George W. Bush
2000,Nebraska CD-2,Republican,1,George W. Bush
2000,Nebraska CD-3,Republican,1,George W. Bush
2000,Nevada,Republican,4,George W. Bush
2000,New Hampshire,Republican,4,George W. Bush
2000,New Jersey,Democrat,15,"Albert Gore, Jr."
2000,New Mexico,Democrat,5,"Albert Gore, Jr."
2000,New York,Democrat,33,"Albert Gore, Jr."
2000,North Carolina,Republican,14,George W. Bush
2000,North Dakota,Republican,3,George W. Bush
2000,Ohio,Republican,21,George W. Bush
2000,Oklahoma,Republican,8,George W. Bush
2000,Oregon,Democrat,7,"Albert Gore, Jr."
2000,Pennsylvania,Democrat,23,"Albert Gore, Jr."
2000,Rhode Island,Democrat,4,"Albert Gore, Jr."
2000,South Carolina,Republican,8,George W. Bush
2000,South Dakota,Republican,3,George W. Bush
2000,Tennessee,Republican,11,George W. Bush
2000,Texas,Republican,32,George W. Bush
2000,Utah,Republican,5,George W. Bush
2000,Vermont,Democrat,3,"Albert Gore, Jr."
2000,Virginia,Republican,13,George W. Bush
2000,Washington,Democrat,11,"Albert Gore, Jr."
2000,West Virginia,Republican,5,George W. Bush
2000,Wisconsin,Democrat,11,"Albert Gore, Jr."
2000,Wyoming,Republican,3,George W. Bush
2000,"Washington, D.C.",Democrat,3,"Albert Gore, Jr."
1996,Alabama,Republican,9,Robert Dole
1996,Alaska,Republican,3,Robert Dole
1996,Arizona,Democrat,8,William J. Clinton
1996,Arkansas,Democrat,6,William J. Clinton
1996,California,Democrat,54,William J. Clinton
1996,Colorado,Republican,8,Robert Dole
1996,Connecticut,Democrat,8,William J. Clinton
1996,Delaware,Democrat,3,William J. Clinton
1996,Florida,Democrat,25,William J. Clinton
1996,Georgia,Republican,13,Robert Dole
1996,Hawaii,Democrat,4,William J. Clinton
1996,Idaho,Republican,4,Robert Dole
1996,Illinois,Democrat,22,William J. Clinton
1996,Indiana,Republican,12,Robert Dole
1996,Iowa,Democrat,7,William J. Clinton
1996,Kansas,Republican,6,Robert Dole
1996,Kentucky,Democrat,8,William J. Clinton
1996,Louisiana,Democrat,9,William J. Clinton
1996,Maine,Democrat,2,William J. Clinton
1996,Maine CD-1,Democrat,1,William J. Clinton
1996,Maine CD-2,Democrat,1,William J. Clinton
1996,Maryland,Democrat,10,William J. Clinton
1996,Massachusetts,Democrat,12,William J. Clinton
1996,Michigan,Democrat,18,William J. Clinton
1996,Minnesota,Democrat,10,William J. Clinton
1996,Mississippi,Republican,7,Robert Dole
1996,Missouri,Democrat,11,William J. Clinton
1996,Montana,Republican,3,Robert Dole
1996,Nebraska,Republican,2,Robert Dole
1996,Nebraska CD-1,Republican,1,Robert Dole
1996,Nebraska CD-2,Republican,1,Robert Dole
1996,Nebraska CD-3,Republican,1,Robert Dole
1996,Nevada,Democrat,4,William J. Clinton
1996,New Hampshire,Democrat,4,William J. Clinton
1996,New Jersey,Democrat,15,William J. Clinton
1996,New Mexico,Democrat,5,William J. Clinton
1996,New York,Democrat,33,William J. Clinton
1996,North Carolina,Republican,14,Robert Dole
1996,North Dakota,Republican,3,Robert Dole
1996,Ohio,Democrat,21,William J. Clinton
1996,Oklahoma,Republican,8,Robert Dole
1996,Oregon,Democrat,7,William J. Clinton
1996,Pennsylvania,Democrat,23,William J. Clinton
1996,Rhode Island,Democrat,4,William J. Clinton
1996,South Carolina,Republican,8,Robert Dole
1996,South Dakota,Republican,3,Robert Dole
1996,Tennessee,Democrat,11,William J. Clinton
1996,Texas,Republican,32,Robert Dole
1996,Utah,Republican,5,Robert Dole
1996,Vermont,Democrat,3,William J. Clinton
1996,Virginia,Republican,13,Robert Dole
1996,Washington,Democrat,11,William J. Clinton
1996,West Virginia,Democrat,5,William J. Clinton
1996,Wisconsin,Democrat,11,William J. Clinton
1996,Wyoming,Republican,3,Robert Dole
1996,"Washington, D.C.",Democrat,3,William J. Clinton
1992,Alabama,Republican,9,George Bush
1992,Alaska,Republican,3,George Bush
1992,Arizona,Republican,8,William J. Clinton
1992,Arkansas,Democrat,6,William J. Clinton
1992,California,Democrat,54,William J. Clinton
1992,Colorado,Democrat,8,William J. Clinton
1992,Connecticut,Democrat,8,William J. Clinton
1992,Delaware,Democrat,3,William J. Clinton
1992,Florida,Republican,25,George Bush
1992,Georgia,Democrat,13,William J. Clinton
1992,Hawaii,Democrat,4,William J. Clinton
1992,Idaho,Republican,4,George Bush
1992,Illinois,Democrat,22,William J. Clinton
1992,Indiana,Republican,12,George Bush
1992,Iowa,Democrat,7,William J. Clinton
1992,Kansas,Republican,6,George Bush
1992,Kentucky,Democrat,8,William J. Clinton
1992,Louisiana,Democrat,9,William J. Clinton
1992,Maine,Democrat,2,William J. Clinton
1992,Maine CD-1,Democrat,1,William J. Clinton
1992,Maine CD-2,Democrat,1,William J. Clinton
1992,Maryland,Democrat,10,William J. Clinton
1992,Massachusetts,Democrat,12,William J. Clinton
1992,Michigan,Democrat,18,William J. Clinton
1992,Minnesota,Democrat,10,William J. Clinton
1992,Mississippi,Republican,7,George Bush
1992,Missouri,Democrat,11,William J. Clinton
1992,Montana,Democrat,3,William J. Clinton
1992,Nebraska,Republican,2,George Bush
1992,Nebraska CD-1,Republican,1,George Bush
1992,Nebraska CD-2,Republican,1,George Bush
1992,Nebraska CD-3,Republican,1,George Bush
1992,Nevada,Democrat,4,William J. Clinton
1992,New Hampshire,Democrat,4,William J. Clinton
1992,New Jersey,Democrat,15,William J. Clinton
1992,New Mexico,Democrat,5,William J. Clinton
1992,New York,Democrat,33,William J. Clinton
1992,North Carolina,Republican,14,George Bush
1992,North Dakota,Republican,3,George Bush
1992,Ohio,Democrat,21,William J. Clinton
1992,Oklahoma,Republican,8,George Bush
1992,Oregon,Democrat,7,William J. Clinton
1992,Pennsylvania,Democrat,23,William J. Clinton
1992,Rhode Island,Democrat,4,William J. Clinton
1992,South Carolina,Republican,8,George Bush
1992,South Dakota,Republican,3,George Bush
1992,Tennessee,Democrat,11,William J. Clinton
1992,Texas,Republican,32,George Bush
1992,Utah,Republican,5,George Bush
1992,Vermont,Democrat,3,William J. Clinton
1992,Virginia,Republican,13,George Bush
1992,Washington,Democrat,11,William J. Clinton
1992,West Virginia,Democrat,5,William J. Clinton
1992,Wisconsin,Democrat,11,William J. Clinton
1992,Wyoming,Republican,3,George Bush
1992,"Washington, D.C.",Democrat,3,William J. Clinton
1988,Alabama,Republican,9,George Bush
1988,Alaska,Republican,3,George Bush
1988,Arizona,Republican,7,George Bush
1988,Arkansas,Republican,6,George Bush
1988,California,Republican,47,George Bush
1988,Colorado,Republican,8,George Bush
1988,Connecticut,Republican,8,George Bush
1988,Delaware,Republican,3,George Bush
1988,Florida,Republican,21,George Bush
1988,Georgia,Republican,12,George Bush
1988,Hawaii,Democrat,4,Michael S. Dukakis
1988,Idaho,Republican,4,George Bush
1988,Illinois,Republican,24,George Bush
1988,Indiana,Republican,12,George Bush
1988,Iowa,Democrat,8,Michael S. Dukakis
1988,Kansas,Republican,7,George Bush
1988,Kentucky,Republican,9,George Bush
1988,Louisiana,Republican,10,George Bush
1988,Maine,Republican,2,George Bush
1988,Maine CD-1,Republican,1,George Bush
1988,Maine CD-2,Republican,1,George Bush
1988,Maryland,Republican,10,George Bush
1988,Massachusetts,Democrat,13,Michael S. Dukakis
1988,Michigan,Republican,20,George Bush
1988,Minnesota,Democrat,10,Michael S. Dukakis
1988,Mississippi,Republican,7,George Bush
1988,Missouri,Republican,10,George Bush
1988,Montana,Republican,4,George Bush
1988,Nebraska,Republican,5,George Bush
1988,Nevada,Republican,4,George Bush
1988,New Hampshire,Republican,4,George Bush
1988,New Jersey,Republican,16,George Bush
1988,New Mexico,Republican,5,George Bush
1988,New York,Democrat,36,Michael S. Dukakis
1988,North Carolina,Republican,13,George Bush
1988,North Dakota,Republican,3,George Bush
1988,Ohio,Republican,23,George Bush
1988,Oklahoma,Republican,8,George Bush
1988,Oregon,Democrat,7,Michael S. Dukakis
1988,Pennsylvania,Republican,25,George Bush
1988,Rhode Island,Democrat,4,Michael S. Dukakis
1988,South Carolina,Republican,8,George Bush
1988,South Dakota,Republican,3,George Bush
1988,Tennessee,Republican,11,George Bush
1988,Texas,Republican,29,George Bush
1988,Utah,Republican,5,George Bush
1988,Vermont,Republican,3,George Bush
1988,Virginia,Republican,12,George Bush
1988,Washington,Democrat,10,Michael S. Dukakis
1988,West Virginia,Democrat,5,Michael S. Dukakis
1988,Wisconsin,Democrat,11,Michael S. Dukakis
1988,Wyoming,Republican,3,George Bush
1988,"Washington, D.C.",Democrat,3,Michael S. Dukakis
1984,Alabama,Republican,9,Ronald Reagan
1984,Alaska,Republican,3,Ronald Reagan
1984,Arizona,Republican,7,Ronald Reagan
1984,Arkansas,Republican,6,Ronald Reagan
1984,California,Republican,47,Ronald Reagan
1984,Colorado,Republican,8,Ronald Reagan
1984,Connecticut,Republican,8,Ronald Reagan
1984,Delaware,Republican,3,Ronald Reagan
1984,Florida,Republican,21,Ronald Reagan
1984,Georgia,Republican,12,Ronald Reagan
1984,Hawaii,Republican,4,Ronald Reagan
1984,Idaho,Republican,4,Ronald Reagan
1984,Illinois,Republican,24,Ronald Reagan
1984,Indiana,Republican,12,Ronald Reagan
1984,Iowa,Republican,8,Ronald Reagan
1984,Kansas,Republican,7,Ronald Reagan
1984,Kentucky,Republican,9,Ronald Reagan
1984,Louisiana,Republican,10,Ronald Reagan
1984,Maine,Republican,2,Ronald Reagan
1984,Maine CD-1,Republican,1,Ronald Reagan
1984,Maine CD-2,Republican,1,Ronald Reagan
1984,Maryland,Republican,10,Ronald Reagan
1984,Massachusetts,Republican,13,Ronald Reagan
1984,Michigan,Republican,20,Ronald Reagan
1984,Minnesota,Democrat,10,Walter F. Mondale
1984,Mississippi,Republican,7,Ronald Reagan
1984,Missouri,Republican,11,Ronald Reagan
1984,Montana,Republican,4,Ronald Reagan
1984,Nebraska,Republican,5,Ronald Reagan
1984,Nevada,Republican,4,Ronald Reagan
1984,New Hampshire,Republican,4,Ronald Reagan
1984,New Jersey,Republican,16,Ronald Reagan
